listing_id,date
24486262,6/22/20
26114800,6/22/20
5417459,6/21/20
6149034,6/21/20
14793592,6/21/20
16792858,6/21/20
17606004,6/21/20
18258873,6/21/20
19341633,6/21/20
23162754,6/21/20
26330334,6/21/20
26937582,6/21/20
27724978,6/21/20
34330577,6/21/20
38208194,6/21/20
38878107,6/21/20
40176413,6/21/20
41515941,6/21/20
42084387,6/21/20
42619958,6/21/20
43265365,6/21/20
43493353,6/21/20
43718626,6/21/20
43728458,6/21/20
15291805,6/20/20
18017190,6/20/20
29042185,6/20/20
36220043,6/20/20
43205390,6/20/20
43341118,6/20/20
43767600,6/20/20
9809688,6/19/20
17115288,6/19/20
19110362,6/19/20
20942852,6/19/20
26114800,6/19/20
26330334,6/19/20
28515601,6/19/20
41608044,6/19/20
42126464,6/19/20
43493353,6/19/20
26330334,6/18/20
28539051,6/18/20
33537491,6/18/20
34952819,6/18/20
35178948,6/18/20
38925489,6/18/20
603545,6/17/20
2522970,6/17/20
14793592,6/17/20
26330334,6/17/20
28539051,6/17/20
28693154,6/17/20
30976426,6/17/20
32468319,6/17/20
9809688,6/16/20
28363835,6/16/20
30529712,6/16/20
34330577,6/16/20
38925489,6/16/20
26330334,6/15/20
38878107,6/15/20
8751883,6/14/20
9809688,6/14/20
22404084,6/14/20
24015804,6/14/20
26114800,6/14/20
26330334,6/14/20
27491314,6/14/20
28661765,6/14/20
29042185,6/14/20
30167977,6/14/20
33094080,6/14/20
37523098,6/14/20
37668599,6/14/20
38878107,6/14/20
40468151,6/14/20
41643475,6/14/20
42619796,6/14/20
959200,6/13/20
2522970,6/13/20
14793592,6/13/20
23628172,6/13/20
26330334,6/13/20
30529712,6/13/20
38470295,6/13/20
2522970,6/12/20
14793592,6/12/20
14798944,6/12/20
21464203,6/12/20
26330334,6/12/20
36106533,6/12/20
38925489,6/12/20
42167047,6/12/20
43493353,6/12/20
9809677,6/11/20
10604260,6/11/20
14793592,6/11/20
22335828,6/11/20
30976426,6/11/20
34526196,6/11/20
38925489,6/11/20
43493353,6/11/20
8360000,6/10/20
17115288,6/10/20
26330334,6/10/20
28693154,6/10/20
38925489,6/10/20
43493353,6/10/20
2194840,6/9/20
15291805,6/9/20
30167977,6/9/20
40628542,6/9/20
43493353,6/9/20
9809688,6/8/20
17377402,6/8/20
24040311,6/8/20
37523098,6/8/20
2522970,6/7/20
12509158,6/7/20
15678142,6/7/20
27096335,6/7/20
27491314,6/7/20
34330577,6/7/20
34649600,6/7/20
35779920,6/7/20
36099404,6/7/20
38769561,6/7/20
38878107,6/7/20
40318379,6/7/20
40628318,6/7/20
9809677,6/6/20
15349356,6/6/20
25515794,6/6/20
29250575,6/6/20
31190180,6/6/20
40396720,6/6/20
43168834,6/6/20
9487949,6/5/20
11004345,6/5/20
23628172,6/5/20
27491314,6/5/20
28363835,6/5/20
37523098,6/5/20
41440889,6/5/20
41551275,6/5/20
29600232,6/4/20
41643475,6/4/20
42805423,6/4/20
9809688,6/3/20
18683212,6/3/20
27491314,6/3/20
30529712,6/3/20
32841697,6/3/20
36963744,6/3/20
40628318,6/3/20
9809677,6/2/20
27491314,6/2/20
41125450,6/2/20
12646547,6/1/20
27491314,6/1/20
35570923,6/1/20
40411035,6/1/20
41125450,6/1/20
43339354,6/1/20
3048594,5/31/20
7759657,5/31/20
14793592,5/31/20
15678142,5/31/20
16036573,5/31/20
28693154,5/31/20
30711848,5/31/20
31438714,5/31/20
34330577,5/31/20
35569947,5/31/20
36862676,5/31/20
41094824,5/31/20
42308673,5/31/20
20131004,5/30/20
25515794,5/30/20
38080630,5/30/20
42661008,5/30/20
43502082,5/30/20
32841697,5/29/20
38925489,5/29/20
40960005,5/29/20
7027563,5/28/20
27491314,5/27/20
28693154,5/27/20
40000254,5/27/20
41162320,5/27/20
43397237,5/27/20
42958788,5/26/20
16723796,5/25/20
20957741,5/25/20
35569947,5/25/20
39580214,5/25/20
3048594,5/24/20
5074616,5/24/20
16036573,5/24/20
28330049,5/24/20
30966880,5/24/20
31198633,5/24/20
37523098,5/24/20
38769561,5/24/20
38878107,5/24/20
42072700,5/24/20
42958930,5/24/20
43396485,5/24/20
5923210,5/23/20
27491314,5/23/20
40411035,5/23/20
42434024,5/23/20
43478187,5/23/20
20957741,5/22/20
27851653,5/22/20
37090123,5/22/20
37104895,5/22/20
38925489,5/22/20
41278743,5/22/20
20222569,5/21/20
33599745,5/21/20
